BDATE,SALEID,STORE,PRODUCTS_SOLD
2016-10-08,10001,STORE001,PR006:91.17|PR004:85.12|PR008:34.25|PR025:41.69
2016-10-08,10002,STORE006,PR014:104.67|PR021:46.69|PR001:76.64|PR011:117.24|PR003:30.4|PR015:4.7|PR006:91.17|PR009:4.6|PR019:24.12
2016-10-08,10003,STORE001,PR004:85.12|PR014:104.67|PR008:34.25
2016-10-08,10004,STORE008,PR016:8.37
2016-10-08,10005,STORE003,PR011:117.24
2016-10-08,10006,STORE005,PR017:96.73|PR013:53.46|PR019:24.12|PR025:41.69|PR004:85.12
2016-10-08,10007,STORE001,PR018:50.39|PR005:61.71|PR020:57.34|PR002:61.29|PR007:29.62|PR005:61.71|PR014:104.67|PR004:85.12|PR001:76.64
2016-10-08,10008,STORE007,PR013:53.46|PR005:61.71|PR012:73.54|PR010:37.6|PR006:91.17|PR004:85.12|PR014:104.67|PR008:34.25
2016-10-08,10009,STORE004,PR011:117.24
2016-10-08,10010,STORE006,PR009:4.6|PR004:85.12|PR020:57.34|PR018:50.39|PR012:73.54|PR013:53.46|PR004:85.12|PR002:61.29|PR017:96.73|PR001:76.64|PR021:46.69|PR024:9.54
2016-10-08,10011,STORE009,PRPR019019:24.12|PR006:91.17|PR025:41.69|PR003:30.4|PR012:73.54
2016-10-08,10012,STORE008,PR015:4.7|PR012:73.54|PR005:61.71|PR009:4.6|PR019:24.12|PR011:117.24|PR008:34.25
2016-10-08,10013,STORE002,PR017:96.73|PR019:24.12|PR018:50.39|PR013:53.46|PR020:57.34|PR004:85.12|PR016:8.37|PR019:24.12
2016-10-08,10014,STORE007,PR008:34.25|PR019:24.12|PR004:85.12|PR016:8.37|PR025:41.69|PR011:117.24|PR019:24.12|PR008:34.25|PR005:61.71|PR005:61.71|PR013:53.46|PR018:50.39
2016-10-08,10015,STORE007,PR007:29.62|PR008:34.25|PR020:57.34|PR011:117.24
2016-10-08,10016,STORE002,PR014:104.67|PR006:91.17|PR019:24.12|PR005:61.71|PR014:104.67
2016-10-08,10017,STORE006,PR019:24.12|PR023:77.16|PR006:91.17|PR021:46.69|PR007:29.62|PR005:61.71|PR024:9.54|PR001:76.64|PR018:50.39|PR023:77.16|PR005:61.71
2016-10-08,10018,STORE005,PR004:85.12|PR016:8.37|PR008:34.25|PR011:117.24|PR021:46.69|PR004:85.12|PR025:41.69|PR021:46.69
2016-10-08,10019,STORE005,PR012:73.54|PR012:73.54|PR025:41.69
2016-10-08,10020,STORE007,PR001:76.64|PR023:77.16|PR020:57.34|PR016:8.37|PR020:57.34|PR023:77.16|PR018:50.39|PR021:46.69|PR023:77.16|PR021:46.69
2016-10-08,10021,STORE005,PR009:4.6|PR023:77.16|PR013:53.46
2016-10-08,10022,STORE001,PR016:8.37|PR022:38.99|PR013:53.46|PR011:117.24|PR015:4.7|PR017:96.73|PR022:38.99
2016-10-08,10023,STORE001,PR010:37.6|PR021:46.69
2016-10-08,10024,STORE006,PR001:76.64|PR004:85.12|PR018:50.39|PR012:73.54|PR012:73.54|PR005:61.71|PR014:104.67|PR025:41.69|PR009:4.6|PR001:76.64|PR006:91.17|PR007:29.62|PR014:104.67|PR023:77.16|PR023:77.16|PR020:57.34|PR002:61.29
2016-10-08,10025,STORE004,PR010:37.6|PR012:73.54|PR006:91.17|PR009:4.6|PR004:85.12|PR021:46.69|PR015:4.7|PR014:104.67|PR018:50.39|PR015:4.7|PR018:50.39|PR021:46.69|PR004:85.12|PR012:73.54|PR025:41.69|PR025:41.69
2016-10-08,10026,STORE005,PR015:4.7|PR007:29.62|PR015:4.7|PR025:41.69|PR005:61.71|PR017:96.73|PR019:24.12|PR004:85.12|PR001:76.64|PR006:91.17
